symbol	GSM2805414_Ad-LacZ.CEL
ACVR2B	6.06052794413709
ACVR2B-AS1	3.89589989630613
ACVRL1	8.75452691974499
ACY1	6.14449975333244
ACY3	4.22344628615571
ACYP1	6.51951404040605
ACYP2	7.64920032330442
ADA	9.28020070746014
ADAD1	3.49982458977458
ADAD2	5.23812423899609
ADAL	2.95702656720714
ADAM10	8.63931258921534
ADAM11	3.95303502986087
ADAM12	3.58446016061881
ADAM15	8.12832048386687
ADAM17	9.06808558606396
ADAM18	2.70003092846444
ADAM19	6.19790411613122
ADAM1A	3.34641404535109
ADAM2	2.66287249773403
ADAM20	4.29389543944927
ADAM21	4.019378148599
ADAM22	3.2279965004587
ADAM23	7.39203150521066
ADAM28	3.27074336391297
ADAM29	2.3900334125817
ADAM30	3.18067558524692
ADAM32	2.80751536351294
ADAM33	4.90212547775351
ADAM3A	2.66287249773403
ADAM3B	2.3900334125817
ADAM5	3.03518825498879
ADAM6	3.26732057569154
ADAM7	4.45429613657919
ADAM8	5.02272590324553
ADAM9	10.7036806028122
ADAMDEC1	2.52361271094291
ADAMTS1	7.26759602549343
ADAMTS10	4.70881565186758
ADAMTS12	4.71349372738813
ADAMTS13	6.12604730808569
ADAMTS14	5.11868952610534
ADAMTS15	4.76414579175027
ADAMTS16	4.689072800347
ADAMTS17	3.42576793345345
ADAMTS18	8.00636561201307
ADAMTS19	3.06588346425739
ADAMTS2	5.03325790723623
ADAMTS20	2.49414488157596
ADAMTS3	5.54665470893319
ADAMTS4	5.57719405048152
ADAMTS5	2.77478653031154
ADAMTS6	4.11794509479741
ADAMTS7	4.39079260185657
ADAMTS8	3.34641404535109
ADAMTS9	5.3052786991061
ADAMTS9-AS2	3.18867242522585
ADAMTSL1	5.22542463165904
ADAMTSL2	4.04538510778212
ADAMTSL3	3.74467986452022
ADAMTSL4	4.48507707932364
ADAMTSL5	3.89589989630613
ADAP1	6.00567149509842
ADAP2	5.18075614893393
ADAR	11.4927255768338
ADARB1	5.72088661571006
ADARB2	3.7120857710889
ADARB2-AS1	5.41759135608184
ADAT1	7.01950430945989
ADAT2	4.81898280436618
ADAT3	5.41759135608184
ADCK1	5.9006791386137
ADCK2	5.41719657894874
ADCK3	5.4379930199546
ADCK4	4.88356703593038
ADCK5	4.63321174135031
ADCY1	4.45429613657919
ADCY10	2.63180859265857
ADCY10P1	4.18886321578016
ADCY2	4.25802935653126
ADCY3	5.83414338460361
