probe_id	symbol	GSM2805414_Ad-LacZ.CEL
1552800_at	ABHD11	6.20441910211997
1552801_at	CAPN13	2.80751536351294
1552803_a_at	STMN1	3.34641404535109
1552804_a_at	TIRAP	5.99417754353048
1552806_a_at	SIGLEC10	2.80751536351294
1552807_a_at	SIGLEC10	4.63321174135031
1552808_at	ADAMTSL1	2.73454767877389
1552809_at	RFX4	2.59254649341595
1552811_at	WFIKKN1	6.50370217880739
1552812_a_at	SENP1	4.25802935653126
1552813_at	KLF14	4.89507984215023
1552814_a_at	KLF14	3.89589989630613
1552816_at	NXNL2	2.66287249773403
1552818_a_at	BRS3	2.73454767877389
1552819_at	LINC00205	4.25802935653126
1552819_at	LOC102723489	4.25802935653126
1552819_at	LOC102725097	4.25802935653126
1552822_at	TMX3	2.52361271094291
1552825_at	ZNF396	2.59254649341595
1552826_at	SLC26A7	2.32541726541788
1552827_s_at	SLC26A7	2.73454767877389
1552828_at	SNX18	4.3253588596564
1552830_at	FBXO39	3.58446016061881
1552833_at	B3GNT6	5.45095545100829
1552834_at	B3GNT6	4.89507984215023
1552835_at	DENND1B	2.3900334125817
1552836_at	ZNF619	6.0166351110202
1552837_at	ICK	2.08139527620818
1552839_at	FAM71D	3.89589989630613
1552841_s_at	BCL2L14	2.88170408475174
1552842_at	HS6ST3	4.18886321578016
1552843_at	SLC26A1	3.26732057569154
1552845_at	CLDN15	5.41759135608184
1552846_s_at	RAB42	5.38343770688919
1552848_a_at	PTCHD1	3.42576793345345
1552849_at	M1AP	2.20053923674618
1552851_at	ZSCAN4	2.59254649341595
1552852_a_at	ZSCAN4	3.11064025994831
1552853_at	VWA5B1	2.80751536351294
1552854_a_at	VWA5B1	3.81930779870933
1552856_at	LINC00311	3.11064025994831
1552857_a_at	HTR6	4.3253588596564
1552858_at	MAGEB6	2.1402587154349
1552860_at	LOC101060464	3.18867242522585
1552860_at	LOC101929858	3.18867242522585
1552860_at	LOC101930165	3.18867242522585
1552860_at	LOC101930171	3.18867242522585
1552860_at	TCEB3C	3.18867242522585
1552860_at	TCEB3CL	3.18867242522585
1552860_at	TCEB3CL2	3.18867242522585
1552862_at	RUSC1-AS1	4.11794509479741
1552863_a_at	CACNG6	6.90378820999456
1552865_a_at	LMNTD1	5.03325790723623
1552868_at	CIRBP-AS1	5.69327027861458
1552870_s_at	AXDND1	2.2622545976128
1552872_at	ASMTL-AS1	5.5154549349024
1552873_s_at	ASMTL-AS1	6.85477151161761
1552875_a_at	CD200R1	2.66287249773403
1552876_at	LINC00334	3.34641404535109
1552877_s_at	LINC00334	3.81930779870933
1552878_at	ATOH7	2.3900334125817
1552879_a_at	ATOH7	3.34641404535109
1552880_at	SEC16B	2.80751536351294
1552882_a_at	AMER1	3.18867242522585
1552884_at	NKX6-3	4.79542979977343
1552885_a_at	NKX6-3	6.10312470804833
1552887_at	TBATA	4.39079260185657
1552889_a_at	EXOC3L2	6.99709170906074
1552890_a_at	CABP4	4.51585802206809
1552892_at	TNFRSF13C	6.18472121074123
1552893_at	CAMK2N2	4.98860652264438
1552895_a_at	ANKRD30BP2	3.34641404535109
1552897_a_at	KCNG3	2.80751536351294
1552898_a_at	KCNG3	3.11064025994831
1552899_at	LINC01312	3.26732057569154
1552900_a_at	LINC01312	2.4561018218042
1552902_a_at	FOXP2	4.39079260185657
1552903_at	B4GALNT2	3.58446016061881
1552904_at	NETO1	2.3900334125817
1552906_at	FMR1NB	2.1402587154349
1552908_at	GCSAML	2.66287249773403
1552910_at	SIGLEC11	4.45429613657919
1552911_at	SIGLEC11	4.25802935653126
1552912_a_at	IL23R	2.4561018218042
1552913_at	MAGEB18	2.2622545976128
1552914_a_at	CD276	6.0166351110202
1552915_at	IFNL2	4.39079260185657
1552917_at	IFNL1	4.39079260185657
1552919_at	C4orf36	2.80751536351294
1552921_a_at	FIGNL1	4.79542979977343
1552922_at	RIMS1	2.4561018218042
1552923_a_at	PITPNM2	4.63321174135031
1552924_a_at	PITPNM2	4.94257148167468
1552925_at	PCDH10	4.45429613657919
1552927_at	TAB3	3.42576793345345
1552928_s_at	TAB3	3.74173351593308
1552929_at	GRK7	3.11064025994831
1552930_at	MMEL1	5.45095545100829
1552931_a_at	PDE8A	6.31727201109934
1552932_at	NLRP6	3.11064025994831
1552933_at	AKNAD1	2.95702656720714
1552935_at	ZCCHC5	3.89589989630613
1552937_s_at	ATRIP	5.38343770688919
1552937_s_at	TREX1	5.38343770688919
1552938_at	ZIC5	3.50518532530405
1552939_at	ANGPT1	2.2622545976128
1552940_at	TEDDM1	3.03337894032123
1552942_at	LOC149373	5.27584495978125
1552943_at	GABRG1	2.3900334125817
1552944_a_at	PANX2	7.7531647782953
1552946_at	ZNF114	3.74173351593308
1552947_x_at	ZNF114	3.66338070308954
1552948_at	CCDC27	3.34641404535109
1552950_at	C15orf26	2.20053923674618
1552952_at	LOC100652931	3.11064025994831
1552952_at	RBMY2FP	3.11064025994831
1552953_a_at	NEUROD2	4.04538510778212
1552954_at	C5orf17	4.39079260185657
1552955_at	LINC00208	3.58446016061881
1552957_at	DNAH6	2.88170408475174
1552960_at	LRRC15	3.50518532530405
1552964_at	TTC40	4.57548750294698
1552965_a_at	B3GNT7	3.34641404535109
1552967_at	ZNF645	4.57548750294698
1552969_a_at	ZMYM6	3.34641404535109
1552970_s_at	ZMYM6	3.03337894032123
1552971_at	SGCZ	2.73454767877389
1552972_at	LOC100507431	2.20053923674618
1552973_at	WNT9B	4.3253588596564
1552977_a_at	CNPY3	7.56789698321087
1552978_a_at	SCAMP1	8.34758694753989
1552979_at	LINC00471	2.59254649341595
1552980_at	HAS3	5.74798423066086
1552982_a_at	FGF4	3.81930779870933
1552985_at	SLC30A8	3.42576793345345
1552986_at	LOC142937	3.50518532530405
1552987_a_at	LOC439933	2.52361271094291
1552988_at	C11orf65	2.02392678206714
1552990_at	FAM71E2	5.07659632050245
1552991_at	OR5P2	2.95702656720714
1552993_at	DYDC1	2.59254649341595
1552995_at	IL27	5.54665470893319
1552997_a_at	IQCF1	4.689072800347
1552998_at	DEFB125	3.42576793345345
1552999_a_at	WFDC10B	3.58446016061881
1553002_at	DEFB105A	3.03337894032123
1553002_at	DEFB105B	3.03337894032123
1553003_at	PKHD1	3.58446016061881
1553004_at	PKD1L1	3.26732057569154
1553006_at	GPR112	3.74173351593308
1553007_a_at	TENM1	3.03337894032123
1553009_s_at	REXO1L1P	3.26732057569154
1553011_at	TAF1L	4.98860652264438
1553013_at	CNTNAP5	3.66338070308954
1553015_a_at	RECQL4	5.9006791386137
1553016_at	GPR113	3.81930779870933
1553019_at	TMC2	6.38788339834241
1553020_at	SMCR5	2.88170408475174
1553021_s_at	BICD2	6.71069938900086
1553022_at	ZIM3	2.2622545976128
1553023_a_at	NOX5	4.04538510778212
1553024_at	DAOA-AS1	2.20053923674618
1553025_at	GPR126	4.04538510778212
1553027_a_at	KLHL4	8.17862615327888
1553028_at	GPR156	4.39079260185657
1553030_a_at	SUOX	6.85477151161761
1553031_at	GPR115	4.3253588596564
1553032_at	IL31RA	3.18867242522585
1553033_at	SYTL5	2.95702656720714
1553034_at	SDCCAG8	5.97136485736855
1553036_at	GPR111	2.4561018218042
1553037_a_at	SYN2	3.26732057569154
1553039_a_at	ASB10	7.74646210824399
1553041_at	HTR3C	4.45429613657919
1553042_a_at	NFKBID	4.79542979977343
1553043_a_at	CD300LF	3.34641404535109
1553044_at	GJA10	4.79542979977343
1553045_at	WNT9A	4.39079260185657
1553046_s_at	GAL3ST2	5.92462792363701
1553047_at	PIP4K2B	4.94257148167468
1553048_a_at	PIP4K2B	6.24302595586331
1553051_s_at	ODF3	3.42576793345345
1553052_at	WFDC13	2.52361271094291
1553053_at	LINC00521	3.58446016061881
1553055_a_at	SLFN5	8.57267077768722
1553057_at	SERPINB12	3.89589989630613
1553058_at	GIPC3	3.66338070308954
1553059_at	PGLYRP3	3.58446016061881
1553060_at	PSKH2	4.39079260185657
1553061_at	OR6W1P	4.3253588596564
1553062_at	MOGAT1	4.45429613657919
1553063_at	GPR78	5.41759135608184
1553064_at	H1FOO	3.34641404535109
1553066_at	TAAR9	3.74173351593308
1553067_a_at	GNRHR2	3.81930779870933
1553070_a_at	MYOZ3	4.39079260185657
1553071_a_at	MYOZ3	4.63321174135031
1553072_at	BNIPL	3.50518532530405
1553074_at	ASB11	3.18867242522585
1553075_a_at	OFCC1	2.32541726541788
1553076_at	OFCC1	2.88170408475174
1553077_at	SDR9C7	2.66287249773403
1553078_at	OR5P3	3.81930779870933
1553079_at	TRIM40	3.50518532530405
1553080_at	CSN1S2AP	2.66287249773403
1553081_at	WFDC12	6.0166351110202
1553082_at	CRYGN	4.04538510778212
1553084_at	STARD6	3.26732057569154
1553086_at	C11orf40	2.66287249773403
1553087_at	C18orf12	3.97131775791213
1553088_a_at	BCL2L11	7.4490844807658
1553089_a_at	WFDC2	3.89589989630613
1553093_a_at	DEFB119	3.18867242522585
1553094_at	FLJ45513	4.3253588596564
1553094_at	TAC4	4.3253588596564
1553096_s_at	BCL2L11	6.12396054995225
1553099_at	TIGD1	4.57548750294698
1553101_a_at	ALKBH5	7.78621883392899
1553102_a_at	CCDC69	4.98860652264438
1553103_at	NFX1	7.85013824520798
1553105_s_at	DSG2	3.11064025994831
1553106_at	C5orf24	7.38147570814113
1553107_s_at	C5orf24	7.2922500998249
1553108_at	C5orf24	6.75143999486093
1553111_a_at	KBTBD6	6.64013252566576
1553112_s_at	CDK8	5.07659632050245
1553113_s_at	CDK8	5.41759135608184
1553114_a_at	PTK6	5.85155487228707
1553115_at	NKD1	5.27584495978125
1553117_a_at	STK38	7.28301636075465
1553118_at	THEM4	5.94818564095007
1553120_at	CLSPN	2.32541726541788
1553122_s_at	RBAK	3.50518532530405
1553123_at	WDR62	3.66338070308954
1553125_x_at	WDR62	2.95702656720714
1553126_a_at	SLC39A12	2.2622545976128
1553127_a_at	RNF168	3.26732057569154
1553129_at	SVEP1	2.66287249773403
1553130_at	LOC652276	5.48356555846598
1553131_a_at	GATA4	4.94257148167468
1553132_a_at	TC2N	2.2622545976128
1553133_at	C9orf72	4.18886321578016
1553134_s_at	C9orf72	2.66287249773403
1553136_at	KCTD18	6.48771509787103
